Referencia,Titular,NIF/CIF,Domicilio social,Localidad,Provincia,C. Postal,F. Concesion,F. Caducidad,Susceptible cesion,Susceptible mutualizacion,Obtenido por transferencia
ALAL-2200521,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,13/06/2022,31/12/2027,,,
ALAL-2200522,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,13/06/2022,31/12/2027,,,
ALAL-2200534,VODAFONE ONO S.A.,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,30/06/2022,31/12/2027,true,,
...,11,12,13,14,15,16,17,18,19,20,...
ALZZ-2000113,TELPLAY SRL,B73264129,"CL JUAN RAMON JIMENZ, 17. 0º",PUERTO LUMBRERAS,MURCIA,30890,19/05/2020,31/12/2025,true,,
ALZZ-2000239,"RETEVISION I, S.A.UNIP.",A62275680,"CL JUAN ESPLANDIU, 11-13",MADRID,MADRID,28007,25/06/2020,31/12/2025,true,,
BAZZ-1500134,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,13/05/2015,31/12/2025,true,,
CACA-0600235,MARQUES BIDCO SL,B88419569,"CL PEDRO TEIXEIRA, 8. 6º",MADRID,MADRID,28020,06/02/2007,31/12/2022,true,,Detalle
CACA-0700181,"VODAFONE ESPAÑA, S.A.",A80907397,"AV AMERICA, 115",MADRID,MADRID,28042,09/10/2007,31/12/2022,true,,
CACA-0800039,"TRADIA TELECOM, S.A.",A61902045,"PASEO PASEO DE LA ZONA FRANCA, 105.",BARCELONA,BARCELONA,08038,25/03/2008,31/12/2023,true,,
CACA-0900015,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,04/03/2009,31/12/2024,,,
CACA-0900097,MARQUES BIDCO SL,B88419569,"CL PEDRO TEIXEIRA, 8. 6º",MADRID,MADRID,28020,20/07/2009,31/12/2024,true,,Detalle
CACA-1000064,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,AVDA ANDALUCÍA,SEVILLA,SEVILLA,41907,26/04/2010,31/12/2025,true,,
CACA-1000119,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,14/10/2010,31/12/2025,true,,
...,11,12,13,14,15,16,17,18,19,20,...
CACA-1000141,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,10/11/2010,31/12/2025,true,,
CACA-1200011,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,09/05/2012,31/12/2022,,,
CACA-1200068,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,30/08/2012,31/12/2022,true,,
CACA-1200212,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,30/08/2012,31/12/2022,true,,
CACA-1200213,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,30/08/2012,31/12/2022,true,,
CACA-1200518,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,04/02/2013,31/12/2023,true,,
CACA-1300002,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,25/02/2013,31/12/2023,true,,
CACA-1300133,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,21/06/2013,31/12/2023,true,,
CACA-1300168,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,29/07/2013,31/12/2023,true,,
