;Referencia;Titular;NIF/CIF;Domicilio social;Localidad;Provincia_x;C. Postal;F. Concesion;F. Caducidad;Susceptible cesion;Susceptible mutualizacion;Obtenido por transferencia;dia_concesion;mes_concesion;año_concesion;Comunidad;Provincia_y;Municipio;Frequencias;Tipo;codigopostalid;lat;lon;brand_sort;score_sort;match_sort;ratio
111389;MAMA-1800056;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;;2023-12-31;True;False;False;0;0;0;;;;;;;;;ORANGE ESPAGNE SA;100;ORANGE ESPAGNE, SA;86
111509;MAMA-1800267;AIRE NETWORKS MEDITERRANEO;B53704599;CL SANTIAGO RAMON Y CAJAL (PARQUE EMPRESARIAL), 11;TORRELLANO;ALICANTE/ALACANT;3320;;2023-12-31;True;False;False;0;0;0;;;;;;;;;AIRE NETWORKS DEL MEDITERRANEO S.L.;100;AIRE NETWORKS DEL MEDITERRANEO, S.L.;87
111604;MAMA-1800326;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2023-12-31;True;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
111748;MAMA-1800362;XFERA MOVILES, S.A.U.;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;;2023-12-31;False;False;False;0;0;0;;;;;;;;;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;100
111816;MAMA-1800433;RETEVISION I, SAU;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2018-08-08;2023-12-31;True;False;False;1971;164;5;;;;;;;;;RETEVISION I S.A.;100;RETEVISION I, S.A.;88
111962;MAMA-1800564;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;;2023-12-31;True;False;False;0;0;0;;;;;;;;;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
112069;MAMA-1800834;XFERA MOVILES, S.A.U.;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2019-10-01;2024-12-31;True;False;False;1918;160;5;;;;;;;;;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;100
112139;MAMA-1800964;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2023-12-31;True;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;75
112253;MAMA-1800976;AXENT INFRAESTRUCTURAS DE TELECOMUNICACIONES SA;A88092127;CL PEDRO TEIXEIRA, 8. 6º;MADRID;MADRID;28020;;2023-12-31;True;False;False;0;0;0;;;;;;;;;REDES DE TELECOMUNICACION GALEGAS RETEGAL SA;100;REDES DE TELECOMUNICACION GALEGAS RETEGAL, SA;66
112390;MAMA-1801072;XFERA MOVILES, S.A.U.;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2019-10-01;2024-12-31;True;False;False;1918;160;5;;;;;;;;;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;100
