;Referencia;Titular;NIF/CIF;Domicilio social;Localidad;Provincia;C. Postal;F. Concesion;F. Caducidad;Susceptible cesion;Susceptible mutualizacion;Obtenido por transferencia;dia_concesion;mes_concesion;año_concesion
92;ALAL-2000287;ACACIO SERVICIOS TELEMATICOS SOCIEDAD LIMITADA;B19509827;AVDA EL FLORIO POLIGONO EL FLORIO, 64;GRANADA;GRANADA;18015;2020-07-21;2025-12-31;False;False;False;1989;166;6
93;ALAL-2000302;ORANGE ESPAÑA SA;A82009812;PASEO CLUB DEPORTIVO, 1;POZUELO DE ALARCÓN;MADRID;28223;2020-10-08;2025-12-31;False;False;False;1910;159;5
94;ALAL-2000311;ORANGE ESPAÑA SA;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2020-10-08;2025-12-31;False;False;False;1910;159;5
95;ALAL-2000427;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2020-09-15;2025-12-31;False;False;False;1933;161;5
96;ALAL-2000445;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2020-09-15;2025-12-31;False;False;False;1933;161;5
97;ALAL-2000539;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2020-11-18;2025-12-31;True;False;False;1869;156;5
99;ALAL-2000596;ORANGE ESPAGNE S.A.U;A82009812;PASEO CLUB DEPORTIVO, 1.;POZUELO DE ALARCÓN;MADRID;28223;2020-12-22;2025-12-31;False;False;False;1835;153;5
100;ALAL-2100024;ORANGE ESPAGNE S.A.U;A82009812;PASEO CLUB DEPORTIVO, 1.;POZUELO DE ALARCÓN;MADRID;28223;2021-01-14;2026-12-31;False;False;False;2177;181;6
101;ALAL-2100042;ORANGE ESPAGNE S.A.U;A82009812;PASEO CLUB DEPORTIVO, 1.;POZUELO DE ALARCÓN;MADRID;28223;2021-01-27;2026-12-31;False;False;False;2164;180;6
102;ALAL-2100045;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-01-29;2026-12-31;True;False;False;2162;180;6
103;ALAL-2100063;ORANGE ESPAGNE S.A.U;A82009812;PASEO CLUB DEPORTIVO, 1.;POZUELO DE ALARCÓN;MADRID;28223;2021-03-02;2026-12-31;False;False;False;2130;178;6
104;ALAL-2100168;ORANGE ESPAGNE, S.A.U;A82009812;CALLE PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-09-03;2026-12-31;False;False;False;1945;162;5
105;ALAL-2100185;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-11-03;2026-12-31;True;False;False;1884;157;5
106;ALAL-2100276;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-04-16;2026-12-31;False;False;False;2085;174;6
107;ALAL-2100277;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-04-16;2026-12-31;False;False;False;2085;174;6
108;ALAL-2100278;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-04-16;2026-12-31;False;False;False;2085;174;6
110;ALAL-2100279;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO PASEO CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-04-16;2026-12-31;False;False;False;2085;174;6
111;ALAL-2100280;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-04-16;2026-12-31;False;False;False;2085;174;6
112;ALAL-2100281;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-04-16;2026-12-31;False;False;False;2085;174;6
113;ALAL-2100357;LIROSAN COMUNICACIONES S.L.;B04742409;CALLE CAMINO DE LA GOLETA, 2.;ALMERIA;ALMERÍA;4007;2021-04-27;2026-12-31;True;False;False;2074;173;6
114;ALAL-2100360;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-04-16;2026-12-31;False;False;False;2085;174;6
115;ALAL-2100367;AIRE NETWORKS DEL MEDITERRANEO S.L.;B53704599;CALLE SANTIAGO RAMON Y CAJAL, 11.;ELCHE;ALICANTE/ALACANT;3203;2021-04-05;2026-12-31;True;False;False;2096;175;6
116;ALAL-2100422;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-04-27;2026-12-31;False;False;False;2074;173;6
117;ALAL-2100484;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-05-14;2026-12-31;True;False;False;2057;171;6
118;ALAL-2100496;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO PASEO CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-05-18;2026-12-31;False;False;False;2053;171;6
119;ALAL-2100526;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-02-06;2026-12-31;False;False;False;2154;180;6
121;ALAL-2100579;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-06-07;2026-12-31;False;False;False;2033;169;6
122;ALAL-2100580;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-08-07;2026-12-31;False;False;False;1972;164;5
123;ALAL-2100620;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-08-16;2026-12-31;True;False;False;1963;164;5
124;ALAL-2100650;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-09-21;2026-12-31;True;False;False;1927;161;5
125;ALAL-2100878;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2022-01-18;2027-12-31;False;False;False;2173;181;6
126;ALAL-2200159;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-11-02;2027-12-31;True;False;False;1885;157;5
127;ALAL-2200336;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2022-03-31;2027-12-31;True;False;False;2101;175;6
